DOMES,Station_Name,Latitude,Longitude,Location_Name,Session_Count
14209S001,EFLSBERG,50.52483333333333,6.883611111111111,Effelsberg,
40439S002,OVRO_130,37.23144444444445,-118.28275,Owens Valley,
40440S002,HAYSTACK,42.62327777777778,-71.48816666666664,Westford,
40441S001,NRAO_140,38.43780555555555,-79.83580555555557,Greenbank,
40442S003,HRAS,30.63672222222222,-103.94727777777774,Fort Davis,
10402S002,ONSALA60,57.395833333333336,11.926333333333332,Onsala,404.0
13201S002,CHLBOLTN,51.14497222222222,-1.4384444444444284,Barton Stacey/C,
40440S003,WESTFORD,42.612944444444445,-71.49380555555558,Westford,824.0
40405S014,GOLDVENU,35.24769444444445,-116.79491666666667,Goldstone,
40490S001,MARPOINT,38.37422222222222,-77.23058333333336,Maryland Point,
40400M003,JPL_MV1,34.20505555555556,-118.17336111111112,Pasadena - Jpl,
40497M003,MON_PEAK,32.89175,-116.42283333333333,Monument Peak,
40433M004,QUINCY,39.97452777777778,-120.94444444444443,Quincy,
40489S001,HATCREEK,40.81733333333334,-121.47052777777776,Hat Creek,
40496M002,PLATTVIL,40.18277777777777,-104.72636111111109,Platteville,
40405S009,MOJAVE12,35.331611111111116,-116.88763888888889,Goldstone,
40437M001,MAMMOTHL,37.64163888888889,-118.94519444444444,Mammoth Lakes,
40420M002,VNDNBERG,34.55608333333333,-120.61644444444445,Vandenberg Afb,
40428M001,SANPAULA,34.387861111111114,-118.99880555555555,Santa Paula I,
40407M001,PINFLATS,33.60922222222222,-116.45883333333333,Pinyon Flats,
40493M001,YUMA,32.93911111111111,-114.20316666666668,Yuma,
40403M001,PVERDES,33.74375,-118.40358333333333,Palos Verdes,
14201S004,WETTZELL,49.144999999999996,12.877444444444444,Wettzell,2146.0
40499S001,RICHMOND,25.613750000000003,-80.3847222222222,Richmond,
21701S001,KASHIMA,35.95408333333334,140.66272222222221,Kashima,
40491M003,FLAGSTAF,35.21469444444445,-111.63475,Flagstaff,
40432M001,ELY,39.293166666666664,-114.84297222222222,Ely,
40408S002,GILCREEK,64.97838888888889,-147.49752777777778,Fairbanks,315.0
40424S001,KAUAI,22.12627777777778,-159.66519444444444,Kokee,
50505S003,KWAJAL26,9.39875,167.48211111111112,Kwajalein Atoll,
40104S001,ALGOPARK,45.95547222222223,-78.07274999999998,Algonquin,227.0
40404M001,PBLOSSOM,34.51211111111111,-117.92241666666666,Pearblossom,
40431M001,DEADMANL,34.25497222222222,-116.2788888888889,Deadman Lake,
40430M001,BLKBUTTE,33.66372222222222,-115.71983333333333,Black Butte,
40449M001,OCOTILLO,32.79008333333333,-115.79619444444447,Ocotillo,
40427M001,FORT_ORD,36.669777777777774,-121.77330555555557,Fort Ord,
40406M001,PRESIDIO,37.805305555555556,-122.45508333333333,San Francisco (,
40410M001,PT,38.10352777777778,-122.93661111111109,Point Reyes,
30302S001,HARTRAO,-25.889722222222222,27.685388888888887,Hartebeesthoek,317.0
40492M002,VERNAL,40.32694444444445,-109.57075,Vernal,
40416M001,YAKATAGA,60.08144444444445,-142.48647222222223,Yakataga,
40425M001,SOURDOGH,62.663888888888884,-145.48375,Sourdough,
12711S001,"Medicina,",44.520472222222224,11.646916666666666,Medicina,
40412M003,AUSTINTX,30.339305555555555,-97.69574999999998,Austin,
40419M001,KODIAK,57.73997222222222,-152.49725,Kodiak,
40453M001,CARROLGA,33.57252777777778,-85.10958333333332,Carrollton,
42501M002,BERMUDA,32.361222222222224,-64.66947222222223,Bermuda,
40452M001,BLOOMIND,39.17933333333333,-86.49844444444443,Bloomington,
40454M001,LEONRDOK,35.909,-95.79508333333337,Leonard,
21605S009,SESHAN25,31.099138888888888,121.1996388888889,Shanghai,325.0
40455M001,MILESMON,46.39652777777778,-105.86086111111112,Miles City,
40423M001,SNDPOINT,55.35230555555556,-160.47549999999998,Sandpoint,
50103S010,DSS45,-35.39844444444444,148.97766666666666,Tidbinbilla,
40118M001,WHTHORSE,60.711222222222226,-135.07711111111112,Whitehorse,
13407S010,DSS65,40.427166666666665,-4.251416666666671,Madrid-Robledo,
40456S001,PIETOWN,34.300999999999995,-108.11919444444445,Pietown,
40442M009,FTD_7900,30.635777777777776,-103.94736111111109,Fort Davis,
40405S019,DSS15,35.42183333333333,-116.88722222222222,Goldstone,
40427M002,FORTORDS,36.58936111111112,-121.77216666666666,Fort Ord,
